file	offset	len
BTL_A5.PRG	05F61F	9
BTL_A5.PRG	05F628	13
BTL_A5.PRG	05F635	13
BTL_A5.PRG	05F642	15
BTL_A5.PRG	05F651	17
BTL_A5.PRG	05F662	9
BTL_A5.PRG	05F66B	17
BTL_A5.PRG	05F67C	11
BTL_A5.PRG	05F687	9
BTL_A5.PRG	05F690	11
BTL_A5.PRG	05F69B	9
BTL_A5.PRG	05F6A4	5
BTL_A5.PRG	05F6A9	23
BTL_A5.PRG	05F6C0	25
BTL_A5.PRG	05F6D9	17
BTL_A5.PRG	05F6EA	27
BTL_A5.PRG	05F705	13
BTL_A5.PRG	05F712	29
BTL_A5.PRG	05F72F	7
BTL_A5.PRG	05F736	11
BTL_A5.PRG	05F741	23
BTL_A5.PRG	05F758	25
BTL_A5.PRG	05F771	21
BTL_A5.PRG	05F786	33
BTL_A5.PRG	05F7A7	21
BTL_A5.PRG	05F7BC	29
BTL_A5.PRG	05F7D9	23
BTL_A5.PRG	05F7F0	27
BTL_A5.PRG	05F80B	19
BTL_A5.PRG	05F81E	19
BTL_A5_2.PRG	0305C6	25
BTL_A5_2.PRG	0305DF	10
BTL_A5_2.PRG	0305F4	12
BTL_A5_2.PRG	030600	30
BTL_A5_2.PRG	03061E	23
BTL_A5_2.PRG	030635	9
BTL_A5_2.PRG	03063E	21
BTL_A5_2.PRG	030653	14
BTL_A5_2.PRG	05A9E0	9
BTL_A5_2.PRG	05A9E9	7
BTL_A5_2.PRG	05A9F0	7
BTL_A5_2.PRG	05A9F7	9
BTL_A5_2.PRG	05AA00	9
BTL_A5_2.PRG	05AA09	9
BTL_A5_2.PRG	05AA12	7
BTL_A5_2.PRG	05AA19	5
BTL_A5_2.PRG	05AA1E	7
BTL_A5_2.PRG	05AA25	5
BTL_A5_2.PRG	05AA2A	5
BTL_A5_2.PRG	05AA2F	5
BTL_A5_2.PRG	05AA34	9
BTL_A5_2.PRG	05AA3D	7
BTL_A5_2.PRG	05AA44	7
BTL_A5_2.PRG	05AA4B	9
BTL_A5_2.PRG	05AA54	5
BTL_A5_2.PRG	05AA59	39
BTL_A5_2.PRG	05AA80	27
BTL_A5_2.PRG	05AA9B	11
BTL_A5_2.PRG	05AAA6	31
BTL_A5_2.PRG	05AAC5	33
BTL_A5_2.PRG	05AAE6	11
BTL_A5_2.PRG	05AAF1	29
BTL_A5_2.PRG	05AB0E	17
BTL_A5_2.PRG	05AB1F	27
BTL_A5_2.PRG	05AB3A	13
BTL_A5_2.PRG	05AB47	35
BTL_A5_2.PRG	05AB6A	29
BTL_A5_2.PRG	05AB87	33
BTL_A5_2.PRG	05ABA8	41
BTL_A5_2.PRG	05ABD1	37
BTL_A5_2.PRG	05ABF6	35
BTL_A5_2.PRG	05AC19	31
BTL_A5_2.PRG	05AC38	35
BTL_A5_2.PRG	05AC5B	19
